movie_id,department,gender,job,name
862,Writing,2.0,Screenplay,Joss Whedon
862,Writing,2.0,Screenplay,Andrew Stanton
862,Writing,2.0,Screenplay,Joel Cohen
862,Writing,0.0,Screenplay,Alec Sokolow
862,Writing,2.0,Original Story,John Lasseter
862,Writing,2.0,Original Story,Pete Docter
862,Writing,0.0,Original Story,Joe Ranft
862,Writing,2.0,Original Story,Andrew Stanton
8844,Writing,2.0,Screenplay,Jonathan Hensleigh
8844,Writing,2.0,Novel,Chris van Allsburg
8844,Writing,2.0,Screenplay,Greg Taylor
8844,Writing,2.0,Screenplay,Jim Strain
15602,Writing,2.0,Characters,Mark Steven Johnson
15602,Writing,2.0,Writer,Mark Steven Johnson
31357,Writing,0.0,Screenplay,Ronald Bass
31357,Writing,0.0,Screenplay,Terry McMillan
31357,Writing,0.0,Novel,Terry McMillan
11862,Writing,1.0,Screenplay,Nancy Meyers
11862,Writing,2.0,Screenplay,Albert Hackett
949,Writing,2.0,Screenplay,Michael Mann
11860,Writing,1.0,Screenplay,Barbara Benedek
11860,Writing,2.0,Screenplay,David Rayfiel
45325,Writing,2.0,Screenplay,David Loughery
45325,Writing,2.0,Screenplay,Stephen Sommers
45325,Writing,2.0,Novel,Mark Twain
9091,Writing,1.0,Screenplay,Karen Elise Baldwin
9091,Writing,2.0,Screenplay,Gene Quintano
710,Writing,2.0,Characters,Ian Fleming
710,Writing,2.0,Screenplay,Jeffrey Caine
710,Writing,2.0,Screenplay,Bruce Feirstein
710,Writing,2.0,Story,Michael France
9087,Writing,2.0,Screenplay,Aaron Sorkin
12110,Writing,2.0,Screenplay,Mel Brooks
12110,Writing,0.0,Screenplay,Rudy De Luca
12110,Writing,0.0,Screenplay,Steve Haberman
21032,Writing,2.0,Writer,Roger S.H. Schulman
21032,Writing,1.0,Writer,Elana Lesser
21032,Writing,0.0,Writer,Cliff Ruby
21032,Writing,2.0,Writer,David Steven Cohen
10858,Writing,2.0,Screenplay,Oliver Stone
10858,Writing,2.0,Screenplay,Stephen J. Rivele
1408,Writing,2.0,Story,James Gorman
1408,Writing,2.0,Story,Michael Frost Beckner
1408,Writing,2.0,Screenplay,Marc Norman
1408,Writing,2.0,Screenplay,Robert King
524,Writing,2.0,Screenplay,Martin Scorsese
524,Writing,2.0,Screenplay,Nicholas Pileggi
524,Writing,2.0,Novel,Nicholas Pileggi
4584,Writing,1.0,Novel,Jane Austen
4584,Writing,1.0,Screenplay,Emma Thompson
5,Writing,1.0,Writer,Allison Anders
5,Writing,2.0,Writer,Alexandre Rockwell
5,Writing,2.0,Writer,Robert Rodriguez
5,Writing,2.0,Writer,Quentin Tarantino
9273,Writing,2.0,Characters,Jack Bernstein
9273,Writing,2.0,Screenplay,Steve Oedekerk
11517,Writing,0.0,Screenplay,Doug Richardson
8012,Writing,2.0,Novel,Elmore Leonard
