movie_id,sum_gender,total_gender,percent_female
387,0.0,3,0.0
388,0.0,1,0.0
389,0.0,2,0.0
390,0.0,1,0.0
391,0.0,2,0.0
392,2.0,3,0.6666666666666666
393,1.0,3,0.3333333333333333
395,0.0,5,0.0
396,0.0,3,0.0
397,0.0,1,0.0
398,0.0,1,0.0
400,0.0,1,0.0
401,0.0,1,0.0
403,0.0,2,0.0
404,1.0,1,1.0
405,0.0,3,0.0
406,0.0,1,0.0
407,0.0,1,0.0
408,0.0,4,0.0
409,0.0,2,0.0
410,0.0,1,0.0
411,1.0,4,0.25
414,0.0,2,0.0
415,0.0,2,0.0
421,0.0,2,0.0
422,0.0,3,0.0
423,0.0,1,0.0
424,0.0,1,0.0
425,0.0,4,0.0
426,0.0,4,0.0
427,0.0,1,0.0
428,0.0,1,0.0
429,0.0,5,0.0
430,0.0,1,0.0
431,0.0,3,0.0
433,0.0,1,0.0
434,0.0,1,0.0
435,0.0,2,0.0
437,1.0,2,0.5
439,0.0,4,0.0
440,0.0,5,0.0
441,0.0,1,0.0
442,0.0,1,0.0
445,0.0,1,0.0
451,0.0,2,0.0
452,0.0,1,0.0
453,2.0,3,0.6666666666666666
454,0.0,3,0.0
455,1.0,2,0.5
457,0.0,1,0.0
458,0.0,1,0.0
459,0.0,1,0.0
460,0.0,1,0.0
462,1.0,1,1.0
465,2.0,2,1.0
466,0.0,1,0.0
467,1.0,2,0.5
468,0.0,1,0.0
470,0.0,1,0.0
471,0.0,1,0.0
473,0.0,3,0.0
475,0.0,3,0.0
476,0.0,2,0.0
479,0.0,3,0.0
482,0.0,2,0.0
483,0.0,4,0.0
488,0.0,2,0.0
489,0.0,2,0.0
490,0.0,1,0.0
492,0.0,1,0.0
493,0.0,1,0.0
494,0.0,2,0.0
496,0.0,8,0.0
497,0.0,2,0.0
499,1.0,1,1.0
500,0.0,1,0.0
501,0.0,1,0.0
502,0.0,3,0.0
503,0.0,2,0.0
504,1.0,1,1.0
506,0.0,2,0.0
507,0.0,1,0.0
508,0.0,1,0.0
509,0.0,1,0.0
510,0.0,3,0.0
511,0.0,2,0.0
512,0.0,1,0.0
513,1.0,1,1.0
521,0.0,1,0.0
522,0.0,2,0.0
524,0.0,3,0.0
525,0.0,2,0.0
